from_stop_id,to_stop_id,transfer_type,min_transfer_time
5641,5708,,
12043,7644,2,420
4052,4004,2,300
5593,5633,,
11807,11799,,
11866,4491,,
1886,1865,2,300
9987,1679,,
40,8035,2,480
5352,7166,2,300
11529,232,2,360
11279,486,2,360
5239,10224,2,360
1563,1550,,
10959,11759,2,420
113,114,,
2539,8048,,
3904,3053,,
11279,11352,2,300
689,728,,
3371,3667,,
2787,1463,,
11357,12548,2,360
11337,11310,2,360
738,441,2,600
3816,8022,2,120
8038,11535,2,600
60,322,2,300
11095,911,,
10092,1886,2,300
4984,5019,,
318,361,2,360
10885,10891,,
6455,5553,2,120
11707,11295,2,420
9547,9524,,
12232,12240,,
12054,10823,,
7743,7727,,
1648,1186,2,300
9848,11613,2,360
11088,11279,2,300
7001,2101,,
5553,5230,,
4324,4398,,
4491,11867,,
6472,5336,2,480
627,12584,2,300
5052,5725,,
1231,11589,,
1016,985,,
11247,12716,2,360
11077,5498,2,360
972,11606,2,300
10860,11943,,
9683,9854,2,300
12173,7214,2,300
8759,1401,2,360
6356,6341,2,300
955,737,2,300
5122,5045,,
8761,8860,,
1550,1563,,
1130,1254,2,300
10235,2708,,
5553,5997,2,120
11616,96,,
8061,10884,,
3041,3080,,
8064,11715,,
704,666,,
12585,11283,2,360
11524,4494,2,420
190,9129,2,360
10067,10068,2,300
11719,11716,,
7025,2227,,
2051,11284,2,300
96,11526,2,300
4346,4347,2,600
6675,9574,,
9981,10139,,
11710,8064,,
3314,12277,,
7106,7108,,
2799,3023,,
847,1580,,
10673,10644,2,300
4722,10823,,
5140,5021,,
178,238,,
5700,5593,,
75,48,,
1186,1648,2,300
8044,11588,,
6508,6888,2,300
6682,8380,2,360
2928,2941,,
9580,6590,,
6590,9580,,
7207,12173,2,300
12230,11940,,
1533,847,,
5997,5230,,
10591,80,2,360
10339,10336,,
10554,8975,2,360
366,313,,
8674,9505,,
1570,1086,,
5494,6467,2,120
6467,5891,2,300
1413,3101,2,300
1173,2717,2,120
863,1977,,
3204,3394,,
11303,77,2,360
11303,11438,2,300
1469,1557,2,300
6464,5601,,
8076,11535,2,360
6469,5776,2,300
8068,2414,2,300
10880,8057,,
5127,5675,,
7639,5890,2,120
2000,1218,,
6174,6139,,
11877,11875,2,300
11294,11247,2,360
8060,5891,,
12348,1013,2,300
6728,5218,,
11015,706,,
7001,6532,,
12717,12716,,
2120,8622,2,420
4163,12688,2,120
5719,5052,,
11281,10799,2,300
77,11526,2,300
4505,4516,,
8754,8073,2,360
95,35,2,480
6139,6340,,
2477,2692,,
604,10481,,
10631,486,2,360
1329,2227,,
11805,11811,,
11760,10958,2,420
1016,8041,2,420
5553,5244,2,120
4067,1761,2,120
11020,251,,
12063,12065,2,360
915,1055,,
2170,2219,2,300
11331,5332,2,300
10468,11310,2,420
11559,7650,2,300
3480,3057,,
10967,213,2,360
6884,6843,2,300
10892,10888,2,180
5997,6080,,
10132,3975,2,300
1195,1158,,
3890,3843,,
7650,8030,,
8746,8690,,
3448,3565,2,360
2417,2491,2,300
12567,11874,2,300
11441,8035,2,480
6139,12543,2,360
5813,5818,2,300
8762,8907,,
12498,7743,,
63,397,2,300
3479,8022,2,600
809,810,2,360
12234,3927,,
6172,6357,,
12234,3904,,
8046,1832,,
5436,11704,,
310,1505,,
2354,8054,,
198,202,,
2717,2761,,
354,599,2,300
5826,5805,,
11273,11522,2,360
3908,3782,2,600
1347,654,2,360
7214,12173,2,300
8033,12230,,
2225,2162,2,360
11606,8763,2,300
8913,8754,2,360
5230,5244,2,120
9492,7145,2,420
1761,452,2,120
744,12625,2,300
797,718,2,300
78,8035,2,600
4163,451,2,120
63,1379,,
6504,6548,2,300
3204,3769,,
1070,1156,,
8754,11588,2,360
10141,3900,,
4647,4670,,
2610,1178,2,480
12207,6734,2,600
6080,5244,,
12409,2761,2,360
12716,11707,2,300
1576,1308,,
2227,7025,,
3613,3140,2,300
7140,7106,2,300
1423,2472,,
12437,7140,,
1576,1354,,
10891,10887,,
10880,5667,2,300
5997,5244,,
9926,5845,2,300
11860,5743,,
8057,11764,2,360
3057,3480,,
3548,3133,,
11020,165,,
10880,11764,2,360
12227,8676,,
5287,5805,2,360
8049,2016,2,300
3964,3944,2,180
5507,5701,2,360
11765,11714,,
10916,11664,2,480
8075,81,2,420
190,11774,2,300
10860,8033,2,120
6280,6215,2,300
11589,8044,2,300
5561,11122,,
2234,2153,2,300
12667,659,2,300
5664,5670,,
1143,2120,2,360
4936,11121,,
5700,6077,,
1133,1833,2,300
10295,7890,,
972,11589,,
3695,3731,2,300
6086,2409,2,360
8056,10884,2,300
2119,12548,2,360
11268,11250,,
10888,10892,,
1808,2163,2,300
12716,11295,2,300
11874,12567,2,300
12556,8045,2,300
2941,2928,,
5997,6455,,
1401,11877,2,360
122,1510,2,300
6736,7635,2,120
10486,234,2,300
10591,8075,2,360
5528,5446,2,360
6133,6095,,
5623,11122,,
8756,10972,,
8034,189,2,480
10873,4067,2,120
12155,6468,2,540
11765,8053,,
8852,6923,,
8032,3195,2,120
1617,1137,2,300
6467,5768,2,360
12293,7167,2,300
1186,1187,2,300
12235,12321,,
9136,218,2,360
8743,9505,2,360
11262,826,2,360
8064,11718,,
10150,9524,,
2671,2717,2,120
1736,11674,2,300
8049,2414,2,300
8033,11941,2,120
859,8035,2,480
218,544,2,300
9307,12375,2,300
12681,12375,2,360
7259,12173,2,300
11715,11714,,
1387,963,2,300
11878,8759,2,420
11529,524,,
11808,11806,,
2167,2221,2,300
4962,5253,,
6902,9567,,
1013,12334,2,300
4016,4018,2,360
11208,6566,,
8052,2203,,
4962,4961,,
8820,3518,,
1108,1514,,
7207,7095,2,120
5516,6459,,
415,10465,2,420
8710,2899,2,120
3476,3487,2,360
11208,6486,2,300
8053,11716,,
10865,10867,,
4949,5074,,
11273,9129,2,360
3023,2692,2,120
3204,3334,,
12234,11229,,
5104,5072,,
11622,155,,
4881,4494,2,420
10929,2397,2,120
12231,12319,,
9124,1592,,
11529,942,2,360
1482,963,,
452,451,2,120
6456,5494,,
6139,6088,,
10564,8575,2,120
8038,938,2,480
11427,26,2,420
5065,5028,,
1530,248,,
789,1533,,
6700,6667,2,360
5553,6455,2,120
3407,8797,2,300
8044,8754,2,360
8577,8575,,
10202,8067,,
6534,12312,2,360
853,12513,2,300
189,11535,2,420
668,11623,,
5148,8062,,
11807,11802,,
989,8037,2,120
11268,11267,,
6173,6195,2,360
10882,10879,2,300
4345,4346,2,480
3965,9255,,
1173,2016,,
35,40,2,300
859,189,2,300
5769,11882,2,300
10400,96,2,360
3904,3067,,
857,8622,2,360
11015,663,,
5797,5756,,
8673,8751,,
5776,6469,2,300
5621,5601,,
3181,11942,2,600
8490,6578,2,360
8542,11129,,
7198,11753,,
12231,11941,,
1775,4067,2,120
8021,3906,2,120
4660,4491,,
11128,8542,,
2971,2847,,
10399,4881,2,120
5801,6004,,
8680,8748,,
12235,3533,2,300
12406,2414,2,300
8034,8035,2,480
463,11021,,
10375,10926,,
8047,1736,,
4329,4427,2,300
12235,3204,,
5019,4984,,
8077,12681,2,480
2809,2789,,
5553,6080,2,120
5593,5464,,
1076,1833,2,300
8046,1065,,
4879,407,2,300
3708,11567,2,360
10310,7719,2,480
8064,11712,,
911,1697,,
2264,2444,,
10812,2047,,
1580,789,,
8622,2120,2,360
8659,8757,,
10860,11940,,
5583,5561,,
95,78,,
10888,10886,,
9570,6675,,
3333,12277,2,300
5230,6080,2,120
8070,1801,2,300
181,10435,2,300
5633,5593,,
1572,12556,2,300
10865,989,,
11273,4495,2,360
5360,7150,2,360
2160,1337,2,600
744,646,,
8022,3478,2,120
1544,1061,,
12235,3334,,
985,8041,2,360
1886,10092,2,300
984,8077,2,420
8484,8283,2,420
1320,2039,,
5961,9452,,
11588,8044,2,300
6073,11124,,
3155,12229,,
938,8019,2,480
9651,4360,2,360
8697,10017,2,360
2847,2941,,
1683,1137,2,300
10891,10890,2,180
12632,1116,2,300
9052,12749,2,300
4928,9961,,
1091,8753,2,300
12406,12405,,
5997,5093,,
78,95,,
5436,6088,2,360
8575,8573,,
9849,6969,2,480
11557,11556,,
4972,4962,,
1430,2263,2,300
11268,11253,,
5509,5701,2,480
10437,6175,,
12230,11941,,
1055,915,,
8032,3204,2,120
8044,8763,2,360
3479,3059,2,300
6153,6280,,
337,11021,,
11810,11798,,
7469,5216,2,120
12242,12233,2,360
8068,2523,2,300
5104,5021,,
5015,11629,2,480
2630,3023,,
10429,2799,2,120
